Kabupaten/Kota,2020,2021,2022,2023,2024,2025
Kab.Pacitan,586100,589100,592900,588000,588600,589034
Kab.Ponorogo,949300,955800,964300,959500,962900,966111
Kab.Trenggalek,731100,734900,739700,741200,744500,747614
Kab.Tulungagung,1089800,1096600,1105300,1107800,1113900,1119588
Kab.Blitar,1223700,1231000,1240300,1253600,1263700,1273451
Kab.Kediri,1635300,1644400,1656000,1677200,1689900,1702262
Kab.Malang,2654400,2668300,2685900,2715600,2736000,2755438
Kab.Lumajang,1119300,1127100,1137200,1139100,1145900,1152264
Kab.Jember,2536700,2550400,2567700,2586800,2603800,2620135
Kab.Banyuwangi,1708100,1718500,1731700,1743900,1754400,1764540
Kab.Bondowoso,776200,778500,781400,788200,792300,796300
Kab.Situbondo,686000,688300,691300,697000,700700,704243
Kab.Probolinggo,1152500,1155900,1160000,1176900,1185200,1193272
Kab.Pasuruan,1606000,1611800,1619000,1644500,1657200,1669400
Kab.Sidoarjo,2082800,2091900,2103400,2148700,2171500,2193692
Kab.Mojokerto,1119200,1125500,1133600,1145500,1154300,1162696
Kab.Jombang,1318100,1325900,1336000,1351300,1362700,1373793
Kab.Nganjuk,1103900,1109700,1117000,1124700,1131800,1138604
Kab.Madiun,744400,750100,757700,754500,757800,760948
Kab.Magetan,670800,674100,678300,681700,685500,689209
Kab.Ngawi,870100,873300,877400,880700,884100,887172
Kab.Bojonegoro,1301600,1307600,1315100,1319600,1325300,1330516
Kab.Tuban,1198000,1203100,1209500,1218600,1225200,1231374
Kab.Lamongan,1344200,1356000,1371500,1369500,1378200,1386390
Kab.Gresik,1311200,1320600,1332700,1350400,1364000,1377287
Kab.Bangkalan,1060400,1071700,1086600,1091800,1102500,1112956
Kab.Sampang,969700,976000,984200,1004500,1016300,1027538
Kab.Pamekasan,850100,853500,857800,875800,884700,893327
Kab.Sumenep,1124400,1129800,1136600,1146600,1153200,1159397
Kota Kediri,286800,288000,289400,295200,298200,301202
Kota Blitar,149100,150400,152000,153400,154900,156330
Kota Malang,843800,844900,846100,865300,872700,879873
Kota Probolinggo,239600,241200,243200,247000,249500,252085
Kota Pasuruan,208000,209500,211500,216400,219400,222334
Kota Mojokerto,132400,133300,134400,136100,137400,138613
Kota Madiun,195200,196900,199200,200000,201800,203552
Kota Surabaya,2874300,2880300,2887200,2911400,2922000,2931611
Kota Batu,213000,214700,216700,220200,222700,225120
Jawa Timur,40665700,40878800,41150000,41527900,41814500,42089271