Kabupaten/Kota,Jumlah Penduduk,Laju Pertumbuhan,Kepadatan Penduduk,TPAK,TPT
Kab.Pacitan,589034,0.1,411,80.82,1.4
Kab.Ponorogo,966111,0.37,681,79.91,3.85
Kab.Trenggalek,747614,0.47,598,77.67,3.86
Kab.Tulungagung,1119588,0.57,978,74.72,4.03
Kab.Blitar,1273451,0.84,730,75.82,4.49
Kab.Kediri,1702262,0.85,1117,69.65,4.71
Kab.Malang,2755438,0.79,793,73.86,5
Kab.Lumajang,1152264,0.61,641,69.64,03.08
Kab.Jember,2620135,0.68,791,75.78,3.07
Kab.Banyuwangi,1764540,0.69,491,73.74,3.94
Kab.Bondowoso,796300,0.54,512,77.28,2.55
Kab.Situbondo,704243,0.56,426,78.51,03.02
Kab.Probolinggo,1193272,0.73,692,76.72,2.92
Kab.Pasuruan,1669400,0.82,1118,74.72,4.22
Kab.Sidoarjo,2193692,1.1,3030,69.53,5.75
Kab.Mojokerto,1162696,0.81,1181,74.24,3.49
Kab.Jombang,1373793,0.88,1238,72.64,3.28
Kab.Nganjuk,1138604,0.65,883,73.19,3.84
Kab.Madiun,760948,0.47,683,73.97,3.22
Kab.Magetan,689209,0.57,976,74.7,3.26
Kab.Ngawi,887172,0.41,636,74.58,2.26
Kab.Bojonegoro,1330516,0.46,575,78.61,3.9
Kab.Tuban,1231374,0.58,624,72.86,3.44
Kab.Lamongan,1386390,0.65,791,74.77,4.29
Kab.Gresik,1377287,1.04,1096,67.99,5.47
Kab.Bangkalan,1112956,1.02,855,68.94,5.31
Kab.Sampang,1027538,1.23,837,77.46,2.44
Kab.Pamekasan,893327,1.05,1123,79.85,1.33
Kab.Sumenep,1159397,0.65,556,80.00,1.64
Kota Kediri,301202,1.04,4480,70.64,3.76
Kota Blitar,156330,0.99,4709,75.95,4.28
Kota Malang,879873,0.88,7921,69.85,5.69
Kota Probolinggo,252085,1.07,4610,68.44,4.93
Kota Pasuruan,222334,1.41,5701,75.63,4.59
Kota Mojokerto,138613,0.96,6855,70.02,4.66
Kota Madiun,203552,0.89,5634,71.23,4.29
Kota Surabaya,2931611,0.42,8727,70.59,4.84
Kota Batu,225120,1.17,1159,80.53,3.53
Jawa Timur,42089271,0.73,876,73.98,3.88